,,,,Overall,,,,,,,PP,,SH,,Defense,
Radko Gudas,WAS,D,77,4,16,20,6,63,136,0,0,0,0,0,255,133
Erik Gudbranson,PIT,D,76,2,8,10,-20,87,94,1,0,0,0,1,184,84
Jake Guentzel,PIT,LW,82,40,36,76,13,26,227,4,6,5,1,0,105,47
Brendan Guhle,ANH,D,8,0,1,1,-2,4,15,0,0,0,0,0,9,7
Carl Gunnarsson,STL,D,25,3,4,7,8,6,21,1,0,0,0,1,11,35
Denis Gurianov,DAL,RW,21,1,3,4,-3,0,23,0,0,1,0,0,23,9
Erik Gustafsson,CHI,D,79,17,43,60,-6,34,160,3,4,14,0,0,100,115
Calvin de Haan,CHI,D,74,1,13,14,1,20,102,1,0,0,0,0,187,106
Carl Hagelin,WAS,LW,58,5,14,19,7,30,99,2,0,0,0,0,64,20
Robert Hagg,PHI,D,82,5,15,20,-3,63,86,1,0,0,0,0,258,158
Ron Hainsey,OTT,D,81,5,18,23,30,21,81,0,0,0,1,0,91,144
Libor Hajek,NYR,D,5,1,0,1,1,6,10,0,0,0,0,0,5,3
Micheal Haley,NYR,LW,43,2,4,6,-2,75,34,0,0,0,0,0,76,16
Taylor Hall,NJ,LW,33,11,26,37,-6,16,113,3,1,11,0,0,22,29
Dan Hamhuis,NSH,D,57,0,5,5,-2,28,39,0,0,0,0,0,38,61
Dougie Hamilton,CAR,D,82,18,21,39,0,54,259,2,2,5,0,0,160,91
Travis Hamonic,CGY,D,69,7,12,19,21,33,128,1,0,0,1,2,44,167
Noah Hanifin,CGY,D,80,5,28,33,18,12,116,2,1,4,1,1,87,83
Joel Hanley,DAL,D,16,0,0,0,0,2,9,0,0,0,0,0,16,16
Markus Hannikainen,CLS,RW,44,4,3,7,-5,2,52,1,0,0,0,0,63,8
Martin Hanzal,DAL,C,7,1,1,2,-4,4,14,0,1,0,0,0,14,4
Ben Harpur,TOR,D,51,1,4,5,-13,56,50,0,0,0,0,0,89,69
Scott Harrington,CLS,D,73,2,15,17,6,23,54,0,0,0,0,0,73,81
Ryan Hartman,MIN,RW,83,12,14,26,1,74,145,2,0,0,0,0,107,39
Garnet Hathaway,WAS,RW,76,11,8,19,14,56,77,5,0,0,2,0,200,36
Erik Haula,CAR,C,15,2,5,7,1,10,26,0,0,1,0,0,11,6
Jayce Hawryluk,FLA,C,42,7,5,12,-8,16,35,0,0,1,0,0,101,25
John Hayden,NJ,C,54,3,2,5,-12,27,42,0,0,0,0,0,97,23
Kevin Hayes,PHI,C,71,19,36,55,-2,12,156,2,3,8,2,1,58,15
Dillon Heatherington,DAL,D,5,0,1,1,4,0,5,0,0,0,0,0,6,2
Victor Hedman,TB,D,70,12,42,54,24,44,182,4,2,23,0,1,59,97
Tim Heed,SJ,D,37,2,11,13,9,10,41,0,1,2,0,0,16,31
Danton Heinen,BOS,C,77,11,23,34,13,16,114,2,1,6,0,0,54,36
Miro Heiskanen,DAL,D,82,12,21,33,-14,16,182,4,2,6,0,1,34,71
Darren Helm,DET,C,61,7,10,17,-11,20,107,0,0,0,1,3,50,26
Matt Hendricks,FA,LW,26,0,3,3,-2,19,23,0,0,0,0,0,40,8
Adam Henrique,ANH,C,82,18,24,42,-5,24,122,3,8,5,0,1,78,71
Tomas Hertl,SJ,LW,77,35,39,74,5,18,176,5,11,4,1,1,53,64
Joe Hicketts,DET,D,11,0,0,0,-9,0,16,0,0,0,0,0,17,27
Thomas Hickey,NYI,D,40,0,4,4,5,33,47,0,0,0,0,1,40,71
Vinnie Hinostroza,ARI,C,72,16,23,39,-4,14,152,3,3,2,0,0,69,41
Roope Hintz,DAL,LW,58,9,13,22,-11,24,99,3,3,3,0,0,87,36
Taro Hirose,DET,LW,10,1,6,7,0,2,15,1,0,1,0,0,1,9
Nico Hischier,NJ,C,69,17,30,47,0,24,160,3,3,8,0,0,53,44
Niklas Hjalmarsson,ARI,D,82,0,10,10,8,44,57,0,0,0,0,2,45,187
Josh Ho-Sang,NYI,RW,10,1,1,2,2,6,10,0,0,0,0,0,0,3
Mike Hoffman,FLA,LW,82,36,34,70,-24,30,253,6,17,18,0,0,42,26
Nick Holden,VGK,D,61,3,12,15,5,14,77,0,0,0,0,2,104,76
Justin Holl,TOR,D,11,0,1,1,-5,2,6,0,0,0,0,0,9,5
Korbinian Holzer,ANH,D,22,1,3,4,5,8,15,0,0,0,0,0,61,38
Julius Honka,DAL,D,29,0,4,4,-2,10,38,0,0,0,0,0,16,31
Patric Hornqvist,PIT,RW,69,18,19,37,-3,26,197,2,6,6,0,0,150,34
Bo Horvat,VAN,C,82,27,34,61,-4,33,227,3,7,11,2,1,62,63
Brett Howden,NYR,C,66,6,17,23,-16,14,74,1,0,2,0,0,64,47
Filip Hronek,DET,D,46,5,18,23,-10,30,73,0,1,4,0,1,66,32
Jonathan Huberdeau,FLA,LW,82,30,62,92,-14,40,226,5,11,23,0,0,57,45
Charles Hudon,MON,LW,32,3,2,5,-9,16,50,0,0,1,0,0,73,9
Quinn Hughes,VAN,D,5,0,3,3,0,2,6,0,0,2,0,0,1,1
Brad Hunt,MIN,D,42,5,7,12,-2,8,75,1,4,4,0,0,18,28
Dryden Hunt,FLA,LW,31,3,7,10,0,8,53,0,0,0,0,0,65,9
Matt Hunwick,BUF,D,14,0,2,2,-7,4,10,0,0,0,0,0,6,9
Ben Hutton,FA,D,69,5,15,20,-23,43,114,1,1,7,0,1,55,102
Tomas Hyka,FA,RW,17,1,3,4,-2,2,22,0,0,2,0,0,6,5
Zach Hyman,TOR,RW,71,21,20,41,16,65,144,4,0,0,1,0,102,39
Alex Iafallo,LA,C,82,15,18,33,-17,22,148,2,2,4,0,0,87,54
Matt Irwin,NSH,D,44,1,6,7,5,38,50,0,0,0,0,0,80,37
Joshua Jacobs,NJ,D,1,0,0,0,-1,0,1,0,0,0,0,0,2,1
Mark Jankowski,CGY,C,79,14,18,32,6,12,99,1,0,0,5,3,30,56
Mattias Janmark,DAL,C,81,6,19,25,-4,24,105,0,0,1,0,1,28,44
Calle Jarnkrok,NSH,C,79,10,16,26,13,12,106,1,1,1,1,0,56,22
Christian Jaros,OTT,D,61,1,9,10,-14,27,65,0,0,2,0,0,110,82
Dmitrij Jaskin,FA,RW,37,2,6,8,-5,6,48,0,0,0,0,0,87,14
Boone Jenner,CLS,LW,77,16,22,38,6,42,170,3,1,2,1,0,158,70
Nick Jensen,WAS,D,80,2,18,20,4,21,94,0,0,0,0,1,82,105
Jakub Jerabek,FA,D,1,0,0,0,-3,2,1,0,0,0,0,0,0,1
Ryan Johansen,NSH,C,80,14,50,64,7,42,136,6,0,16,1,1,95,23
Marcus Johansson,BUF,LW,58,13,17,30,-16,8,115,1,2,7,0,0,28,24
Adam Johnson,PIT,C,6,0,2,2,2,0,3,0,0,0,0,0,11,3
Erik Johnson,COL,D,80,7,18,25,8,38,144,1,0,0,0,0,124,143
Jack Johnson,PIT,D,82,1,12,13,-4,41,86,0,1,1,0,2,233,147
Luke Johnson,MIN,C,15,0,1,1,-8,8,19,0,0,1,0,0,31,9
Tyler Johnson,TB,C,80,29,18,47,15,28,163,4,1,7,1,0,50,32
Andreas Johnsson,TOR,LW,73,20,23,43,14,32,130,3,3,3,0,0,60,36
Ross Johnston,NYI,LW,17,1,3,4,3,23,12,0,0,0,0,0,43,1
Henri Jokiharju,BUF,D,38,0,12,12,-7,16,62,0,0,1,0,0,48,37
Caleb Jones,EDM,D,17,1,5,6,-9,6,21,0,0,1,0,0,20,18
Max Jones,ANH,LW,30,2,3,5,-1,14,58,1,0,1,0,0,30,5
Seth Jones,CLS,D,75,9,37,46,1,28,184,4,0,10,0,3,106,133
Mathieu Joseph,TB,RW,70,13,13,26,5,26,95,1,0,0,0,2,129,14
Roman Josi,NSH,D,82,15,41,56,9,42,274,4,2,10,0,1,53,144
Tyson Jost,COL,C,70,11,15,26,-2,14,114,3,4,1,0,0,48,35
Noah Juulsen,MON,D,21,1,4,5,5,6,22,0,0,0,0,0,60,39
Nazem Kadri,COL,C,73,16,28,44,-2,43,184,5,4,9,0,0,85,13
Dominik Kahun,PIT,C,82,13,24,37,10,6,137,2,1,1,0,0,13,27
Vladislav Kamenev,COL,C,23,2,3,5,-2,10,22,0,1,0,1,0,20,4
David Kampf,CHI,RW,63,4,15,19,-6,14,72,0,0,0,0,0,39,30
Steve Kampfer,BOS,D,35,3,3,6,-6,22,40,0,1,1,0,0,44,32
Evander Kane,SJ,LW,75,30,26,56,-4,153,268,1,5,6,1,1,173,25
Patrick Kane,CHI,RW,81,44,66,110,2,22,341,7,9,21,0,0,21,18
Kasperi Kapanen,TOR,RW,78,20,24,44,12,27,174,3,1,2,2,0,92,19
Erik Karlsson,SJ,D,53,3,42,45,6,22,169,1,2,18,0,0,44,69
Melker Karlsson,SJ,C,79,12,4,16,-1,26,79,2,0,0,0,0,67,39
William Karlsson,VGK,C,82,24,32,56,1,16,169,5,7,7,1,2,51,55
Ondrej Kase,ANH,RW,30,11,9,20,0,2,94,2,1,3,0,0,17,11
Zack Kassian,EDM,RW,79,15,11,26,-6,102,111,3,0,0,1,0,191,15
Brady Keeper,FLA,D,1,0,0,0,1,0,1,0,0,0,0,0,2,1
Duncan Keith,CHI,D,82,6,34,40,13,70,141,1,0,3,0,1,42,144
Clayton Keller,ARI,C,82,14,33,47,-21,24,200,5,1,18,0,0,16,21
Adrian Kempe,LA,C,81,12,16,28,-10,50,118,2,0,4,0,0,86,21
Mario Kempe,LA,LW,52,4,5,9,5,18,57,0,0,0,0,0,105,30
Michal Kempny,WAS,D,71,6,19,25,24,60,111,3,0,0,0,0,84,135
Alex Kerfoot,TOR,C,78,15,27,42,-9,38,116,1,4,12,0,0,22,29
Ryan Kesler,ANH,C,60,5,3,8,-19,44,86,1,1,2,0,0,93,56
Phil Kessel,ARI,RW,82,27,55,82,-19,28,215,10,12,24,0,0,12,18
Jujhar Khaira,EDM,C,60,3,15,18,-12,43,64,0,0,0,1,1,123,33
Alex Killorn,TB,C,82,18,22,40,22,45,153,2,2,3,1,1,88,23
Bogdan Kiselevich,FA,D,32,0,8,8,-3,12,14,0,0,0,0,0,49,21
Oscar Klefbom,EDM,D,61,5,23,28,-11,16,167,2,1,10,0,0,44,102
John Klingberg,DAL,D,64,10,35,45,6,12,153,5,5,15,0,0,42,77
Justin Kloos,ANH,C,1,0,0,0,0,0,2,0,0,0,0,0,2,0
Corban Knight,FA,C,23,1,3,4,-5,0,15,0,0,0,0,0,9,13
Slater Koekkoek,CHI,D,31,2,4,6,4,14,36,0,0,0,0,0,54,48
Mikko Koivu,MIN,C,48,8,21,29,-2,22,89,0,2,10,0,1,13,32
Leo Komarov,NYI,LW,82,6,20,26,18,42,78,1,0,0,0,0,203,38
Travis Konecny,PHI,C,82,24,25,49,-4,40,182,3,4,4,0,0,65,45
Anze Kopitar,LA,C,81,22,38,60,-20,30,156,3,1,18,2,0,59,66
Kalle Kossila,TOR,C,8,1,0,1,-1,4,11,1,0,0,0,0,5,3
Jesperi Kotkaniemi,MON,C,79,11,23,34,1,26,134,2,1,4,0,0,66,41
Ilya Kovalchuk,LA,RW,64,16,18,34,-26,10,141,1,4,5,0,0,28,19
Chris Kreider,NYR,LW,79,28,24,52,4,57,201,2,7,5,0,0,159,49
David Krejci,BOS,C,81,20,53,73,7,16,139,4,6,10,0,0,28,24
Niklas Kronwall,FA,D,79,3,24,27,-5,40,71,0,1,7,0,0,84,96
Torey Krug,BOS,D,64,6,47,53,-2,33,151,2,2,28,0,0,53,60
Marcus Kruger,FA,C,74,4,8,12,-2,30,74,2,0,0,0,1,51,34
Nikita Kucherov,TB,RW,82,41,87,128,24,62,246,8,15,33,0,0,44,31
Ryan Kuffner,DET,LW,10,0,0,0,-4,0,8,0,0,0,0,0,4,5
Karson Kuhlman,BOS,C,11,3,2,5,5,2,15,1,0,0,0,0,6,4
Tom Kuhnhackl,NYI,RW,36,4,5,9,1,10,30,0,0,0,0,1,48,41
Dean Kukan,CLS,D,25,0,5,5,6,6,16,0,0,0,0,0,16,21
Brett Kulak,MON,D,57,6,11,17,12,31,102,3,0,0,1,0,107,64
Dmitry Kulikov,WPG,D,57,0,6,6,4,47,40,0,0,0,0,0,88,71
Luke Kunin,MIN,C,49,6,11,17,-9,27,88,1,0,1,0,0,67,34
Chris Kunitz,FA,LW,56,5,5,10,-7,23,44,1,0,0,0,0,85,15
Janne Kuokkanen,CAR,LW,7,0,0,0,-2,4,6,0,0,0,0,0,0,3
Sean Kuraly,BOS,C,71,8,13,21,6,38,134,3,0,0,0,0,129,35
Evgeny Kuznetsov,WAS,C,76,21,51,72,7,50,193,3,8,15,0,0,46,20
Oliver Kylington,CGY,D,38,3,5,8,3,10,21,1,0,0,0,0,11,41
Jordan Kyrou,STL,RW,16,1,2,3,-1,4,16,0,0,0,0,0,2,3
Joel L'Esperance,DAL,C,18,2,0,2,-4,6,24,0,1,0,0,0,22,4
Kevin Labanc,SJ,RW,82,17,39,56,-1,36,130,4,2,18,0,0,66,16
Andrew Ladd,NYI,LW,26,3,8,11,3,16,34,0,0,0,0,1,37,8
Paul LaDue,LA,D,33,2,3,5,0,12,33,1,0,0,0,0,51,25
Patrik Laine,WPG,RW,82,30,20,50,-24,42,245,3,15,8,0,0,70,44
Max Lajoie,OTT,D,56,7,8,15,-25,20,79,0,4,4,0,0,34,82
Juho Lammikko,FA,RW,40,0,6,6,-7,6,39,0,0,0,0,1,45,21
Gabriel Landeskog,COL,LW,73,34,41,75,17,51,243,9,10,17,0,0,120,64
Nick Lappin,STL,RW,11,0,0,0,-6,0,11,0,0,0,0,0,16,3
Dylan Larkin,DET,C,76,32,41,73,-6,75,287,4,7,8,2,1,80,38
Adam Larsson,EDM,D,82,3,17,20,-28,44,117,0,0,0,0,1,256,128
Jacob Larsson,ANH,D,49,0,5,5,-4,16,57,0,0,0,0,0,41,59
Johan Larsson,BUF,C,73,6,8,14,-8,37,79,0,0,0,1,0,112,44
Brian Lashoff,DET,D,4,0,1,1,-1,2,2,0,0,0,0,0,3,4
Scott Laughton,PHI,C,82,12,20,32,-11,53,130,1,0,0,0,2,146,46
Jeremy Lauzon,BOS,D,16,1,0,1,-1,2,11,1,0,0,0,0,15,15
Curtis Lazar,BUF,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,1
Nick Leddy,NYI,D,82,4,22,26,0,18,116,0,0,10,0,0,77,89
Anders Lee,NYI,C,82,28,23,51,20,58,204,5,10,6,0,0,103,51
Artturi Lehkonen,MON,LW,82,11,20,31,10,32,176,4,0,0,0,0,120,39
Jori Lehtera,FA,C,27,1,2,3,-7,33,17,0,0,0,0,0,29,7
Brendan Leipsic,WAS,LW,62,7,16,23,-14,24,92,1,1,3,0,0,56,28
Josh Leivo,VAN,LW,76,14,10,24,5,32,151,2,3,4,0,0,44,23
Brendan Lemieux,NYR,LW,63,12,5,17,6,108,67,1,0,0,0,0,129,31
Chase De Leo,ANH,C,1,0,0,0,1,0,4,0,0,0,0,0,1,0
Kris Letang,PIT,D,65,16,40,56,13,48,206,3,2,17,1,1,116,111
Mark Letestu,WPG,C,2,0,0,0,-1,0,1,0,0,0,0,0,3,0
Vinni Lettieri,NYR,C,27,1,2,3,-7,14,40,0,1,1,0,0,41,11
Tyler Lewington,WAS,D,2,1,1,2,3,7,3,0,0,0,0,0,4,1
Trevor Lewis,LA,C,44,3,9,12,-9,9,87,1,0,0,0,0,53,25
Oscar Lindberg,FA,C,55,9,11,20,4,28,91,0,0,1,0,0,104,27
Oskar Lindblom,PHI,LW,81,17,16,33,-9,20,162,2,2,1,0,0,68,52
Esa Lindell,DAL,D,82,11,21,32,14,33,132,1,4,3,2,0,143,161
Ryan Lindgren,NYR,D,5,0,0,0,-6,8,8,0,0,0,0,0,11,9
Anton Lindholm,COL,D,2,0,0,0,-1,0,0,0,0,0,0,0,1,1
Elias Lindholm,CGY,RW,81,27,51,78,30,20,182,5,9,17,1,3,82,39
Hampus Lindholm,ANH,D,76,6,22,28,-5,44,125,0,1,5,0,1,81,133
Par Lindholm,BOS,C,65,1,12,13,5,18,65,0,0,0,0,0,58,55
Bryan Little,WPG,C,82,15,26,41,-12,26,126,5,4,3,0,2,62,29
Blake Lizotte,LA,LW,1,0,0,0,-1,0,1,0,0,0,0,0,0,1
Ryan Lomberg,CGY,LW,4,0,0,0,0,17,1,0,0,0,0,0,12,0
Ben Lovejoy,FA,D,71,2,7,9,-1,37,95,0,0,0,0,0,76,118
Adam Lowry,WPG,LW,78,12,11,23,6,33,105,3,0,0,1,2,223,49
Milan Lucic,CGY,LW,79,6,14,20,-9,91,74,0,2,2,0,0,259,22
Matt Luff,LA,RW,33,8,3,11,-2,9,45,2,1,0,0,0,17,19
Isac Lundestrom,ANH,LW,15,0,2,2,-1,2,13,0,0,0,0,0,4,5
Ilya Lyubushkin,ARI,D,41,0,4,4,-9,13,27,0,0,0,0,0,150,61
Olli Maatta,CHI,D,60,1,13,14,9,12,74,1,1,3,0,0,97,116
Kurtis MacDermid,LA,D,11,0,1,1,-1,11,5,0,0,0,0,0,26,4
Andrew MacDonald,CGY,D,47,0,9,9,-5,18,41,0,0,0,0,2,30,95
Jacob MacDonald,COL,D,2,1,0,1,1,0,1,0,0,0,0,0,1,1
Mackenzie MacEachern,STL,LW,29,3,2,5,0,10,33,1,0,0,0,0,49,4
Zach MacEwen,VAN,C,4,0,1,1,-4,5,2,0,0,0,0,0,4,1
Derek MacKenzie,FA,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan MacKinnon,COL,C,82,41,58,99,20,34,365,6,12,25,0,0,54,31
Saku Maenalanen,CAR,LW,34,4,4,8,0,20,36,0,0,0,0,0,45,10
Josh Mahura,ANH,D,17,1,4,5,0,4,20,0,0,3,0,0,6,18
Denis Malgin,FLA,C,50,7,9,16,-10,14,66,0,0,1,0,0,40,21
Evgeni Malkin,PIT,C,68,21,51,72,-25,89,187,5,9,17,0,0,54,33
Brad Malone,EDM,C,16,0,0,0,0,4,13,0,0,0,0,0,35,5
Maxim Mamin,FA,LW,7,0,0,0,-2,5,8,0,0,0,0,0,10,1
Andrew Mangiapane,CGY,LW,44,8,5,13,11,12,65,1,0,0,0,0,43,17
Brandon Manning,EDM,D,39,2,2,4,-15,25,33,0,0,0,0,0,63,40
Josh Manson,ANH,D,74,3,13,16,-8,62,96,0,0,0,0,1,184,90
Anthony Mantha,DET,RW,67,25,23,48,-8,30,198,1,7,6,0,0,67,23
Brad Marchand,BOS,LW,79,36,64,100,15,96,231,9,10,24,3,4,46,19
Jonathan Marchessault,VGK,LW,82,25,34,59,2,52,278,6,5,11,0,0,98,22
Martin Marincin,TOR,D,24,1,4,5,-4,12,34,0,0,0,0,0,21,21
Patrick Marleau,FA,LW,82,16,21,37,-6,28,161,3,4,6,0,0,74,41
Mitch Marner,TOR,C,82,26,68,94,22,22,233,5,3,18,1,2,29,43
Cooper Marody,EDM,C,6,0,0,0,-1,0,6,0,0,0,0,0,0,0
Patrick Maroon,TB,LW,74,10,18,28,-3,64,118,3,2,9,0,0,135,7
Danick Martel,TB,C,9,0,2,2,3,8,16,0,0,0,0,0,12,1
Matt Martin,NYI,LW,67,6,8,14,5,53,62,1,0,0,0,0,275,42
Alec Martinez,LA,D,60,4,14,18,-2,8,78,2,0,2,0,0,78,135
Jordan Martinook,CAR,LW,82,15,10,25,1,38,146,5,0,0,1,0,199,46
Andreas Martinsen,ANH,LW,24,1,3,4,-5,14,21,0,0,0,0,0,83,9
Mike Matheson,FLA,D,75,8,19,27,-24,44,129,2,0,6,0,2,63,132
Auston Matthews,TOR,C,68,37,36,73,-9,12,251,5,12,8,0,0,28,60
Scott Mayfield,NYI,D,79,4,15,19,18,68,104,0,0,0,1,0,118,159
Charlie McAvoy,BOS,D,54,7,21,28,14,45,79,3,1,1,0,1,92,91
Jake McCabe,BUF,D,59,4,10,14,-4,35,64,0,0,0,1,0,103,99
Jared McCann,PIT,C,78,19,16,35,-1,31,150,2,1,2,4,0,77,51
Max McCormick,CAR,LW,14,1,0,1,-6,4,12,0,0,0,0,0,21,6
Ian McCoshen,FLA,D,19,1,1,2,-2,8,15,0,0,0,0,0,41,13
Connor McDavid,EDM,C,78,41,75,116,3,20,240,9,9,24,1,1,39,30
Ryan McDonagh,TB,D,82,9,37,46,38,34,128,1,0,3,0,3,98,161
Brock McGinn,CAR,LW,82,10,16,26,10,20,123,0,0,0,1,0,137,38
Jamie McGinn,FA,LW,19,4,3,7,-5,6,23,1,1,0,0,0,34,3
Dylan McIlrath,DET,D,7,0,0,0,2,4,6,0,0,0,0,0,19,7
Greg McKegg,NYR,C,41,6,5,11,-2,8,27,1,0,0,0,0,30,18
Cody McLeod,FA,LW,38,1,0,1,-13,67,22,0,0,0,0,0,112,10
Michael McLeod,NJ,C,21,0,3,3,-8,13,21,0,0,0,0,0,41,4
Brayden McNabb,VGK,D,81,4,12,16,11,52,84,1,0,0,0,1,200,139
Adam McQuaid,FA,D,50,3,4,7,2,42,28,1,0,0,0,1,122,88
Wade Megan,FA,C,11,0,1,1,-4,2,16,0,0,0,0,0,4,4
Jaycob Megna,VGK,D,28,1,3,4,-1,12,31,0,0,0,0,0,32,29
Timo Meier,SJ,LW,78,30,36,66,9,55,250,2,6,4,0,1,99,40
Dakota Mermis,NJ,D,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Jon Merrill,VGK,D,57,3,12,15,16,53,72,0,0,0,1,0,71,72
Victor Mete,MON,D,71,0,13,13,17,6,65,0,0,0,0,0,21,95
Marc Methot,FA,D,9,0,0,0,-3,6,3,0,0,0,0,0,15,10
Jacob Middleton,SJ,D,3,0,1,1,-1,2,0,0,0,0,0,0,1,2
Sonny Milano,CLS,LW,8,1,0,1,0,0,5,0,0,0,0,0,5,0
Colin Miller,BUF,D,65,3,26,29,0,44,131,0,1,12,0,0,122,64
J.T. Miller,VAN,C,75,13,34,47,8,30,108,4,4,16,0,0,115,23
Kevan Miller,BOS,D,39,0,7,7,8,35,32,0,0,0,0,0,73,79
Casey Mittelstadt,BUF,C,77,12,13,25,-19,10,118,1,3,7,0,0,30,16
Sean Monahan,CGY,C,78,34,48,82,7,12,211,5,12,11,0,0,36,24
Brandon Montour,BUF,D,82,8,27,35,-20,56,181,2,1,5,0,0,99,121
John Moore,BOS,D,61,4,9,13,0,26,97,1,2,1,0,0,77,76
Trevor Moore,TOR,LW,25,2,6,8,1,2,26,0,0,0,0,0,15,7
Samuel Morin,PHI,D,5,0,0,0,-3,4,5,0,0,0,0,0,9,7
Josh Morrissey,WPG,D,59,6,25,31,9,14,95,2,3,7,1,1,55,107
Joe Morrow,NYR,D,41,1,6,7,0,20,40,0,0,0,0,0,37,37
Tyler Motte,VAN,C,74,9,7,16,-12,10,114,1,0,0,2,0,200,52
Mirco Mueller,NJ,D,53,1,10,11,-3,17,39,0,0,0,0,0,75,61
Connor Murphy,CHI,D,52,5,8,13,12,40,84,1,0,0,0,0,119,91
Ryan Murphy,FA,D,3,0,1,1,1,0,1,0,0,1,0,0,1,3
Ryan Murray,CLS,D,56,1,28,29,20,10,71,0,0,1,0,0,27,93
Jake Muzzin,TOR,D,80,9,28,37,21,47,141,1,1,4,0,1,172,134
Philippe Myers,PHI,D,21,1,1,2,-5,2,25,0,0,0,0,0,42,8
Tyler Myers,VAN,D,80,9,22,31,11,63,156,3,0,7,1,1,97,99
Vladislav Namestnikov,NYR,C,78,11,20,31,-7,44,119,3,1,2,2,3,140,62
Riley Nash,CLS,C,78,3,9,12,-8,19,79,1,0,0,0,0,72,43
James Neal,EDM,RW,63,7,12,19,-5,28,141,1,2,4,0,0,46,19
Martin Necas,CAR,C,7,1,1,2,0,2,6,0,0,0,0,0,3,2
Brock Nelson,NYI,C,82,25,28,53,20,28,181,3,2,6,1,0,51,55
Casey Nelson,BUF,D,38,1,5,6,1,13,37,0,0,0,0,0,44,36
Patrik Nemeth,DET,D,74,1,9,10,5,53,57,0,0,0,0,1,137,131
Valeri Nichushkin,COL,LW,57,0,10,10,-4,0,65,0,0,0,0,0,71,32
Nino Niederreiter,CAR,RW,82,23,30,53,-4,30,184,3,6,9,0,0,94,20
Frans Nielsen,DET,C,72,10,25,35,-7,14,120,4,0,8,0,1,79,44
Matt Nieto,COL,LW,64,4,19,23,2,8,86,1,0,0,1,2,50,26
Boo Nieves,NYR,C,43,4,6,10,-4,8,34,1,0,0,0,0,33,18
Sami Niku,WPG,D,30,1,3,4,0,2,19,0,0,0,0,0,10,30
Jacob Nilsson,CHI,C,2,0,0,0,-2,0,0,0,0,0,0,0,1,1
Matt Niskanen,PHI,D,80,8,17,25,-3,41,143,1,1,1,0,1,167,137
Stefan Noesen,DAL,C,41,3,5,8,-19,28,64,0,0,0,0,0,95,21
Nelson Nogier,WPG,D,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Jordan Nolan,STL,RW,14,0,2,2,2,14,17,0,0,0,0,0,22,4
Joakim Nordstrom,BOS,C,70,7,5,12,0,13,103,3,0,0,0,0,86,52
Tomas Nosek,VGK,LW,68,8,9,17,-10,18,116,1,0,0,1,0,75,23
Ryan Nugent-Hopkins,EDM,LW,82,28,41,69,-13,26,208,3,8,18,1,2,69,40
Darnell Nurse,EDM,D,82,10,31,41,-5,87,196,1,1,8,0,1,162,146
Markus Nutivaara,CLS,D,80,5,16,21,3,6,99,1,0,0,0,0,80,61
Alexander Nylander,CHI,RW,12,2,2,4,-4,4,16,0,1,0,0,0,1,1
William Nylander,TOR,C,54,7,20,27,-4,16,130,0,1,5,0,0,16,14
Gustav Nyquist,CLS,RW,81,22,38,60,1,12,204,3,2,10,0,0,36,23
Logan O'Connor,COL,C,5,0,0,0,-2,0,1,0,0,0,0,0,4,1
Danny O'Regan,NYR,C,1,0,0,0,0,0,2,0,0,0,0,0,0,0
Ryan O'Reilly,STL,C,82,28,49,77,22,12,234,5,6,16,1,2,31,36
Jordan Oesterle,ARI,D,71,6,14,20,-3,12,77,0,3,4,0,0,58,139
Kyle Okposo,BUF,RW,78,14,15,29,-9,41,147,2,7,4,0,0,87,27
Jamie Oleksiak,DAL,D,57,4,8,12,5,45,55,0,0,0,0,0,135,59
Victor Olofsson,BUF,LW,6,2,2,4,1,2,21,0,2,0,0,0,2,3
Dmitry Orlov,WAS,D,82,3,26,29,3,33,101,0,0,1,0,0,137,103
Brooks Orpik,FA,D,53,2,7,9,8,32,43,0,0,0,0,0,131,78
T.J. Oshie,WAS,RW,69,25,29,54,5,36,143,4,6,8,1,0,133,55
Xavier Ouellet,MON,D,19,0,3,3,-3,13,32,0,0,0,0,0,32,30
Alex Ovechkin,WAS,LW,81,51,38,89,7,40,338,5,18,10,0,0,223,41
Igor Ozhiganov,FA,D,53,3,4,7,0,14,43,0,0,0,0,0,57,48
Magnus Paajarvi,FA,LW,80,11,8,19,-14,6,119,1,0,0,1,1,65,67
Max Pacioretty,VGK,LW,66,22,18,40,-13,36,191,5,4,4,0,0,119,20
Jean-Gabriel Pageau,OTT,C,39,4,8,12,-12,14,83,0,0,0,0,0,63,38
Ondrej Palat,TB,LW,64,8,26,34,4,20,100,1,2,6,0,0,104,34
Kyle Palmieri,NJ,RW,74,27,23,50,-9,42,224,2,11,7,0,0,98,35
Artemi Panarin,NYR,LW,79,28,59,87,14,23,191,8,6,12,0,0,14,17
Richard Panik,WAS,RW,75,14,19,33,-3,44,140,2,0,2,1,0,137,52
Cedric Paquette,TB,C,80,13,4,17,7,80,87,1,0,0,2,0,269,61
Colton Parayko,STL,D,80,10,18,28,20,15,176,3,4,4,0,1,127,157
Zach Parise,MIN,LW,74,28,33,61,-2,26,229,5,10,6,0,2,49,71
David Pastrnak,BOS,RW,66,38,43,81,6,32,235,4,17,16,0,0,57,25
